impl,scheme,n,procs,threads,nodes,primes,total_s,serial_s,parallel_s,overhead_s,imbalance_pct,write_s
openmp,dynamic,100000000,1,1,1,5761455,46.216515,0.175434,46.041066,0.000015,0.00,0.175434
openmp,dynamic,100000000,1,2,1,5761455,23.282922,0.193266,23.089589,0.000067,0.00,0.193266
openmp,dynamic,100000000,1,2,1,5761455,23.257067,0.172233,23.084757,0.000078,0.00,0.172233
openmp,dynamic,100000000,1,2,1,5761455,23.263544,0.178399,23.085075,0.000070,0.00,0.178399
openmp,dynamic,100000000,1,4,1,5761455,11.715579,0.171350,11.544075,0.000154,0.00,0.171350
openmp,dynamic,100000000,1,4,1,5761455,11.727499,0.189717,11.537631,0.000152,0.00,0.189716
openmp,dynamic,100000000,1,4,1,5761455,11.727852,0.186580,11.540887,0.000385,0.00,0.186580
openmp,dynamic,100000000,1,8,1,5761455,5.949077,0.174660,5.774027,0.000390,0.00,0.174660
openmp,dynamic,100000000,1,8,1,5761455,5.988430,0.183582,5.804524,0.000324,0.00,0.183582
openmp,dynamic,100000000,1,8,1,5761455,5.946882,0.175560,5.770677,0.000644,0.00,0.175560
openmp,dynamic,100000000,1,16,1,5761455,3.107384,0.198160,2.900306,0.008918,0.13,0.198159
openmp,dynamic,100000000,1,16,1,5761455,3.094791,0.173653,2.918695,0.002443,0.00,0.173653
openmp,dynamic,100000000,1,16,1,5761455,3.075928,0.177663,2.892564,0.005701,0.00,0.177663
hybrid,cyclic,100000000,1,2,1,5761455,23.286727,0.327718,22.955515,0.003495,0.00,0.320768
hybrid,cyclic,100000000,1,2,1,5761455,23.400318,0.308967,23.087816,0.003535,0.00,0.302080
hybrid,cyclic,100000000,1,2,1,5761455,23.534657,0.245592,23.285636,0.003429,0.00,0.238707
hybrid,cyclic,100000000,2,2,1,5761455,11.725753,0.249927,11.471804,0.004022,0.04,0.242017
hybrid,cyclic,100000000,2,2,1,5761455,11.834305,0.274366,11.555977,0.003961,0.10,0.266082
hybrid,cyclic,100000000,2,2,1,5761455,11.752238,0.278724,11.469553,0.003961,0.03,0.270749
hybrid,cyclic,100000000,4,2,1,5761455,6.015691,0.279325,5.732066,0.004300,0.01,0.271350
hybrid,cyclic,100000000,4,2,1,5761455,5.974259,0.237138,5.732639,0.004483,0.05,0.229187
hybrid,cyclic,100000000,4,2,1,5761455,6.073402,0.333954,5.735237,0.004212,0.14,0.326192
hybrid,cyclic,100000000,8,2,1,5761455,3.162344,0.288784,2.868527,0.005033,0.15,0.280566
hybrid,cyclic,100000000,8,2,1,5761455,3.153742,0.270756,2.876173,0.006813,0.46,0.263417
hybrid,cyclic,100000000,8,2,1,5761455,3.110075,0.236666,2.868317,0.005091,0.17,0.228652
hybrid,cyclic,100000000,1,4,1,5761455,11.766289,0.282408,11.479959,0.003922,0.00,0.275317
hybrid,cyclic,100000000,1,4,1,5761455,11.763904,0.281424,11.477108,0.005372,0.00,0.273771
hybrid,cyclic,100000000,1,4,1,5761455,11.821824,0.335854,11.482476,0.003494,0.00,0.328050
hybrid,cyclic,100000000,2,4,1,5761455,6.028886,0.270433,5.753095,0.005358,0.09,0.263409
hybrid,cyclic,100000000,2,4,1,5761455,6.011154,0.266231,5.738375,0.006547,0.00,0.258725
hybrid,cyclic,100000000,2,4,1,5761455,6.057364,0.297843,5.751812,0.007710,0.02,0.290067
hybrid,cyclic,100000000,4,4,1,5761455,3.709945,0.279982,3.421604,0.008358,10.68,0.271906
hybrid,cyclic,100000000,4,4,1,5761455,4.082249,0.236467,3.837794,0.007989,19.31,0.228545
hybrid,cyclic,100000000,4,4,1,5761455,5.939120,0.232994,5.699271,0.006855,0.11,0.224649
hybrid,cyclic,100000000,1,8,1,5761455,6.044024,0.293164,5.746875,0.003985,0.00,0.284597
hybrid,cyclic,100000000,1,8,1,5761455,6.040397,0.267144,5.769822,0.003431,0.00,0.260221
hybrid,cyclic,100000000,1,8,1,5761455,6.622591,0.245377,6.373410,0.003804,0.00,0.236954
hybrid,cyclic,100000000,2,8,1,5761455,3.475214,0.236095,3.234850,0.004269,3.65,0.228677
hybrid,cyclic,100000000,2,8,1,5761455,3.492028,0.231193,3.256749,0.004085,6.07,0.223570
hybrid,cyclic,100000000,2,8,1,5761455,3.463783,0.238154,3.221879,0.003750,5.09,0.230553
hybrid,cyclic,100000000,1,16,1,5761455,3.112182,0.181392,2.926938,0.003852,0.00,0.174226
hybrid,cyclic,100000000,1,16,1,5761455,3.070548,0.183524,2.883246,0.003779,0.00,0.176593
hybrid,cyclic,100000000,1,16,1,5761455,3.086665,0.192739,2.888846,0.005080,0.00,0.185187
serial,none,44000000,1,1,1,2661384,14.294453,0.097930,14.196524,0.000000,0.00,0.097930
serial,none,44000000,1,1,1,2661384,14.323361,0.126590,14.196770,0.000000,0.00,0.126590
serial,none,48000000,1,1,1,2888144,16.222556,0.151869,16.070687,0.000000,0.00,0.151869
serial,none,48000000,1,1,1,2888144,16.226795,0.154028,16.072767,0.000000,0.00,0.154028
serial,none,52000000,1,1,1,3113843,18.184391,0.162078,18.022313,0.000000,0.00,0.162078
serial,none,52000000,1,1,1,3113843,18.176840,0.132951,18.043889,0.000000,0.00,0.132951
serial,none,56000000,1,1,1,3338330,20.205448,0.170781,20.034667,0.000000,0.00,0.170781
serial,none,56000000,1,1,1,3338330,20.192057,0.158610,20.033448,0.000000,0.00,0.158610
serial,none,60000000,1,1,1,3562115,22.249511,0.143071,22.106440,0.000000,0.00,0.143071
serial,none,60000000,1,1,1,3562115,22.250144,0.149480,22.100664,0.000000,0.00,0.149480
serial,none,64000000,1,1,1,3785086,24.413812,0.175937,24.237875,0.000000,0.00,0.175937
serial,none,64000000,1,1,1,3785086,24.929099,0.263166,24.665933,0.000000,0.00,0.263166
serial,none,68000000,1,1,1,4007342,29.664786,0.355061,29.309724,0.000000,0.00,0.355061
serial,none,68000000,1,1,1,4007342,34.650563,0.270930,34.379633,0.000000,0.00,0.270930
serial,none,72000000,1,1,1,4228658,29.013883,0.295879,28.718004,0.000000,0.00,0.295879
serial,none,72000000,1,1,1,4228658,28.946917,0.235502,28.711414,0.000000,0.00,0.235502
serial,none,76000000,1,1,1,4449611,31.202842,0.216803,30.986039,0.000000,0.00,0.216803
serial,none,76000000,1,1,1,4449611,31.742386,0.242146,31.500240,0.000000,0.00,0.242146
