graph,series,x,value,n,procs,threads,nodes,note
S2,hybrid-amdahl+comm,136.0,14.9478,136000000,4,4,1,k=0.00011
S2,hybrid-empirical,140.0,14.9913,140000000,4,4,1,speedup
S2,hybrid-amdahl,140.0,15.0498,140000000,4,4,1,r_s=0.00421
S2,hybrid-amdahl+comm,140.0,15.0324,140000000,4,4,1,k=0.00008
S2,hybrid-empirical,144.0,14.9456,144000000,4,4,1,speedup
S2,hybrid-amdahl,144.0,14.9453,144000000,4,4,1,r_s=0.00470
S2,hybrid-amdahl+comm,144.0,14.9281,144000000,4,4,1,k=0.00008
S2,hybrid-empirical,148.0,14.9782,148000000,4,4,1,speedup
S2,hybrid-amdahl,148.0,14.9836,148000000,4,4,1,r_s=0.00452
S2,hybrid-amdahl+comm,148.0,14.9675,148000000,4,4,1,k=0.00007
S2,hybrid-empirical,152.0,14.9810,152000000,4,4,1,speedup
S2,hybrid-amdahl,152.0,14.9436,152000000,4,4,1,r_s=0.00471
S2,hybrid-amdahl+comm,152.0,14.9244,152000000,4,4,1,k=0.00009
S2,hybrid-empirical,156.0,15.0104,156000000,4,4,1,speedup
S2,hybrid-amdahl,156.0,15.0289,156000000,4,4,1,r_s=0.00431
S2,hybrid-amdahl+comm,156.0,15.0135,156000000,4,4,1,k=0.00007
S2,hybrid-empirical,160.0,14.9652,160000000,4,4,1,speedup
S2,hybrid-amdahl,160.0,14.8886,160000000,4,4,1,r_s=0.00498
S2,hybrid-amdahl+comm,160.0,14.8728,160000000,4,4,1,k=0.00007
S3,pthreads-1x16,16,14.7812,100000000,1,16,1,speedup
S3,pthreads-1x32,32,14.2989,100000000,1,32,1,speedup
S3,openmp-1x16,16,14.9978,100000000,1,16,1,speedup
S3,openmp-1x32,32,14.8358,100000000,1,32,1,speedup
S3,mpi-16x1,16,14.7027,100000000,16,1,1,speedup
S3,mpi-32x1,32,13.8604,100000000,32,1,1,speedup
S3,hybrid-4x4,16,14.7859,100000000,4,4,1,speedup
S3,hybrid-4x8,32,14.6537,100000000,4,8,1,speedup
S3,hybrid-8x2,16,14.6966,100000000,8,2,1,speedup
S3,hybrid-16x2,32,14.6179,100000000,16,2,1,speedup
